,Date,t1,t2,x_FOV,y_FOV,xs_CEN,ys_CEN,ys_FOV,xs_FOV,I_min,I_max,Is_min,Is_max,# maps,filename,Annotation
0,2021-11-09 16:38:00,2021-11-09 14:38:00,2021-11-09 18:38:00,2400.0,2400.0,1021.0,414.0,800.0,800.0,1.0,1583.0,1.0,1583.0,90.0,20211109_1638_FSI304F.mp4,
1,2021-12-04 05:02:00,2021-12-04 03:02:00,2021-12-04 07:02:00,2400.0,2400.0,839.0,-475.0,1000.0,1000.0,1.0,1417.0,1.0,1417.0,118.0,20211204_0502_FSI304F.mp4,some weird rotation
2,2021-12-05 07:14:00,2021-12-05 05:14:00,2021-12-05 09:14:00,2200.0,2200.0,860.0,-449.0,600.0,600.0,1.0,1013.0,1.0,1013.0,96.0,20211205_0714_FSI304F.mp4,
3,2022-01-01 13:46:00,2022-01-01 11:46:00,2022-01-01 15:46:00,2300.0,2300.0,885.0,-202.0,1200.0,1200.0,1.0,1317.0,1.0,1317.0,16.0,20220101_1346_FSI304F.mp4,
4,2022-01-13 13:00:00,2022-01-13 11:00:00,2022-01-13 15:00:00,2300.0,2300.0,877.0,-449.0,800.0,800.0,1.0,1433.0,1.0,1433.0,16.0,20220113_1300_FSI304F.mp4,
5,2022-01-14 13:14:00,2022-01-14 11:14:00,2022-01-14 15:14:00,2300.0,2300.0,651.0,-564.0,1000.0,1000.0,1.0,2200.0,1.0,2200.0,16.0,20220114_1314_FSI304F.mp4,
6,2022-01-16 19:24:00,2022-01-16 17:24:00,2022-01-16 21:24:00,2400.0,2400.0,715.0,151.0,600.0,600.0,1.0,1667.0,1.0,1667.0,16.0,20220116_1924_FSI304F.mp4,
7,2022-01-18 17:32:00,2022-01-18 15:32:00,2022-01-18 19:32:00,2400.0,2400.0,967.0,146.0,800.0,800.0,1.0,1333.0,1.0,1333.0,12.0,20220118_1732_FSI304F.mp4,
8,2022-01-20 05:54:00,2022-01-20 03:54:00,2022-01-20 07:54:00,2400.0,2400.0,1035.0,141.0,700.0,700.0,1.0,1500.0,1.0,1500.0,12.0,20220120_0554_FSI304F.mp4,
9,2022-01-29 23:10:00,2022-01-29 21:10:00,2022-01-30 01:10:00,2500.0,2500.0,208.0,366.0,800.0,800.0,1.0,2367.0,1.0,2367.0,72.0,20220129_2310_FSI304F.mp4,
